aardvark	ˈɑːdvɑːk
aardvarks	ˈɑːdvɑːks
abacus	ˈæbəkəs
abacuses	ˈæbəkəsɪz
abalone	ˌæbəˈləʊni
abalones	ˌæbəˈləʊniz
abandon	əˈbændən
abandonment	əˈbændənmənt
abandonments	əˈbændənmənts
abandons	əˈbændənz
abasement	əˈbeɪsmənt
abasements	əˈbeɪsmənts
abatement	əˈbeɪtmənt
abatements	əˈbeɪtmənts
abattoir	ˈæbətwɑː
abattoirs	ˈæbətwɑːz
abaya	əˈbeɪjə
abayas	əˈbeɪjəz
abba	ˈʌbə
abbas	ˈʌbəz
abbess	ˈæbes
abbesses	ˈæbesɪz
abbey	ˈæbi
abbeys	ˈæbiz
abbot	ˈæbət
abbots	ˈæbəts
abbreviation	əˌbriːviˈeɪʃn
abbreviations	əˌbriːviˈeɪʃnz
ABC	ˌeɪ biː ˈsiː
abdication	ˌæbdɪˈkeɪʃn
abdications	ˌæbdɪˈkeɪʃnz
abdomen	ˈæbdəmən
abdomens	ˈæbdəmənz
abdominal	æbˈdɒmɪnl
abdominals	æbˈdɒmɪnlz
abductee	ˌæbdʌkˈtiː
abductees	ˌæbdʌkˈtiːz
abduction	æbˈdʌkʃn
abductions	æbˈdʌkʃnz
abductor	æbˈdʌktə
abductors	æbˈdʌktəz
internet	ˈɪntənet
Aberdonian	ˌæbəˈdəʊniən
Aberdonians	ˌæbəˈdəʊniənz
aberration	ˌæbəˈreɪʃn
aberrations	ˌæbəˈreɪʃnz
abeyance	əˈbeɪəns
abeyances	əˈbeɪənsɪz
abhorrence	əbˈhɒrəns
abhorrences	əbˈhɒrənsɪz
abilities	əˈbɪlətiz
ability	əˈbɪləti
ablation	əˈbleɪʃn
ablations	əˈbleɪʃnz
ablative	ˈæblətɪv
ablatives	ˈæblətɪvz
ablutions	əˈbluːʃnz
abnegation	ˌæbnɪˈɡeɪʃn
abnegations	ˌæbnɪˈɡeɪʃnz
abnormalities	ˌæbnɔːˈmælətiz
abnormality	ˌæbnɔːˈmæləti
Abo	ˈæbəʊ
abode	əˈbəʊd
abodes	əˈbəʊdz
abolition	ˌæbəˈlɪʃn
abolitionist	ˌæbəˈlɪʃənɪst
abolitionists	ˌæbəˈlɪʃənɪsts
abolitions	ˌæbəˈlɪʃnz
abomination	əˌbɒmɪˈneɪʃn
abominations	əˌbɒmɪˈneɪʃnz
aboriginal	ˌæbəˈrɪdʒənl
aboriginals	ˌæbəˈrɪdʒənlz
aborigine	ˌæbəˈrɪdʒəni
aborigines	ˌæbəˈrɪdʒəniz
abortion	əˈbɔːʃn
abortionist	əˈbɔːʃənɪst
abortionists	əˈbɔːʃənɪsts
abortions	əˈbɔːʃnz
Abos	ˈæbəʊz
abrasion	əˈbreɪʒn
abrasions	əˈbreɪʒnz
abrasive	əˈbreɪsɪv
abrasiveness	əˈbreɪsɪvnəs
abrasives	əˈbreɪsɪvz
abridgement	əˈbrɪdʒmənt
abridgements	əˈbrɪdʒmənts
abrogation	ˌæbrəˈɡeɪʃn
abrogations	ˌæbrəˈɡeɪʃnz
abruptness	əˈbrʌptnəs
abscess	ˈæbses
abscesses	ˈæbsesɪz
abscissa	æbˈsɪsə
abseil	ˈæbseɪl
abseils	ˈæbseɪlz
absence	ˈæbsəns
absences	ˈæbsənsɪz
absentee	ˌæbsənˈtiː
absenteeism	ˌæbsənˈtiːɪzəm
absentees	ˌæbsənˈtiːz
absinthe	ˈæbsɪnθ
absinthes	ˈæbsɪnθz
absolute	ˈæbsəluːt
absolution	ˌæbsəˈluːʃn
absolutions	ˌæbsəˈluːʃnz
absolutism	ˈæbsəluːtɪzəm
absolutist	ˈæbsəluːtɪst
absolutists	ˈæbsəluːtɪsts
absorbencies	əbˈzɔːbənsiz
absorbency	əbˈzɔːbənsi
absorption	əbˈzɔːpʃn
absorptions	əbˈzɔːpʃnz
abstainer	əbˈsteɪnə
abstainers	əbˈsteɪnəz
abstention	əbˈstenʃn
abstentions	əbˈstenʃnz
abstinence	ˈæbstɪnəns
abstinences	ˈæbstɪnənsɪz
abstract	ˈæbstrækt
abstraction	æbˈstrækʃn
abstractionism	æbˈstrækʃnɪzəm
abstractionist	æbˈstrækʃnɪst
abstractionists	æbˈstrækʃnɪsts
abstractions	æbˈstrækʃnz
abstracts	ˈæbstrækts
absurdism	əbˈsɜːdɪzəm
absurdist	əbˈsɜːdɪst
absurdists	əbˈsɜːdɪsts
absurdities	əbˈsɜːdətiz
absurdity	əbˈsɜːdəti
abundance	əˈbʌndəns
abundances	əˈbʌndənsɪz
abuse	əˈbjuːs
abuser	əˈbjuːzə
abusers	əˈbjuːzəz
abuses	əˈbjuːsɪz
abyss	əˈbɪs
abysses	əˈbɪsɪz
acacia	əˈkeɪʃə
acacias	əˈkeɪʃəz
academe	ˈækədiːm
academes	ˈækədiːmz
academia	ˌækəˈdiːmiə
academic	ˌækəˈdemɪk
academician	əˌkædəˈmɪʃn
academicians	əˌkædəˈmɪʃnz
academicism	ˌækəˈdemɪsɪzəm
academics	ˌækəˈdemɪks
academies	əˈkædəmiz
academism	əˈkædəmɪzəm
academy	əˈkædəmi
Acadian	əˈkeɪdiən
acanthus	əˈkænθəs
acanthuses	əˈkænθəsɪz
accelerando	əkˌseləˈrændəʊ
accelerandos	əkˌseləˈrændəʊz
acceleration	əkˌseləˈreɪʃn
accelerations	əkˌseləˈreɪʃnz
accelerator	əkˈseləreɪtə
accelerators	əkˈseləreɪtəz
accelerometer	əkˌseləˈrɒmɪtə
accelerometers	əkˌseləˈrɒmɪtəz
accent	ˈæksənt
accents	ˈæksənts
accentuation	əkˌsentʃuˈeɪʃn
accentuations	əkˌsentʃuˈeɪʃnz
acceptabilities	əkˌseptəˈbɪlətiz
acceptability	əkˌseptəˈbɪləti
acceptance	əkˈseptəns
acceptances	əkˈseptənsɪz
acceptation	ˌæksepˈteɪʃn
acceptations	ˌæksepˈteɪʃnz
access	ˈækses
accesses	ˈæksesɪz
accessibilities	əkˌsesəˈbɪlətiz
accessibility	əkˌsesəˈbɪləti
accession	ækˈseʃn
accessions	ækˈseʃnz
accessories	əkˈsesəriz
accessory	əkˈsesəri
accidence	ˈæksɪdəns
accident	ˈæksɪdənt
accidents	ˈæksɪdənts
acclaim	əˈkleɪm
acclaims	əˈkleɪmz
acclamation	ˌækləˈmeɪʃn
acclamations	ˌækləˈmeɪʃnz
acclimation	ˌækləˈmeɪʃn
acclimations	ˌækləˈmeɪʃnz
acclimatization	əˌklaɪmətaɪˈzeɪʃn
acclimatizations	əˌklaɪmətaɪˈzeɪʃnz
accolade	ˈækəleɪd
accolades	ˈækəleɪdz
accommodation	əˌkɒməˈdeɪʃn
accommodations	əˌkɒməˈdeɪʃnz
accompaniment	əˈkʌmpənimənt
accompaniments	əˈkʌmpənimənts
accompanist	əˈkʌmpənɪst
accompanists	əˈkʌmpənɪsts
accomplice	əˈkʌmplɪs
accomplices	əˈkʌmplɪsɪz
accomplishment	əˈkʌmplɪʃmənt
accomplishments	əˈkʌmplɪʃmənts
accord	əˈkɔːd
accordance	əˈkɔːdns
accordances	əˈkɔːdnsɪz
accordion	əˈkɔːdiən
accordions	əˈkɔːdiənz
accords	əˈkɔːdz
account	əˈkaʊnt
accountabilities	əˌkaʊntəˈbɪlətiz
accountability	əˌkaʊntəˈbɪləti
accountancies	əˈkaʊntənsiz
accountancy	əˈkaʊntənsi
accountant	əˈkaʊntənt
accountants	əˈkaʊntənts
accounting	əˈkaʊntɪŋ
accountings	əˈkaʊntɪŋz
accounts	əˈkaʊnts
accouterments	əˈkuːtərmənts
accoutrements	əˈkuːtrəmənts
accreditation	əˌkredɪˈteɪʃn
accreditations	əˌkredɪˈteɪʃnz
accretion	əˈkriːʃn
accretions	əˈkriːʃnz
accrual	əˈkruːəl
accruals	əˈkruːəlz
