abase	əˈbeɪs
abasement	əˈbeɪsmənt
abalone	ˌæbəˈləʊni
aback	əˈbæk
aardvark	ˈɑːdvɑːk
abandon	əˈbændən
abbreviate	əˈbriːvieɪt
abbreviated	əˈbriːvieɪtɪd
abba	ˈʌbə
abashed	əˈbæʃt
abaft	əˈbɑːft
abbey	ˈæbi
abbess	ˈæbes
abandoned	əˈbændənd
abbot	ˈæbət
abate	əˈbeɪt
abatement	əˈbeɪtmənt
abattoir	ˈæbətwɑː(r)
aa	ˌeɪ ˈeɪ
abbreviation	əˌbriːviˈeɪʃn
abdominal	æbˈdɒmɪnl
abdicate	ˈæbdɪkeɪt
abdication	ˌæbdɪˈkeɪʃn
aargh	ɑː
abdomen	ˈæbdəmən
abductor	æbˈdʌktə(r)
aberrant	æˈberənt
aberration	ˌæbəˈreɪʃn
abet	əˈbet
abeyance	əˈbeɪəns
abhor	əbˈhɔː(r)
abhorrence	əbˈhɒrəns
abide	əˈbaɪd
ability	əˈbɪləti
abiding	əˈbaɪdɪŋ
abhorrent	əbˈhɒrənt
abiotic	ˌeɪbaɪˈɒtɪk
abjure	əbˈdʒʊə(r)
able	ˈeɪbl
abler	ˈeɪblə(r)
ablest	ˈeɪblɪst
abject	ˈæbdʒekt
abjectly	ˈæbdʒektli
ablation	əˈbleɪʃn
ablaze	əˈbleɪz
ablutions	əˈbluːʃnz
ably	ˈeɪbli
abnegation	ˌæbnɪˈɡeɪʃn
abnegate	ˈæbnɪɡeɪt
abnormality	ˌæbnɔːˈmæləti
aboard	əˈbɔːd
abnormal	æbˈnɔːml
abnormally	æbˈnɔːməli
abolitionist	ˌæbəˈlɪʃənɪst
aboriginal	ˌæbəˈrɪdʒənl
aborigine	ˌæbəˈrɪdʒəni
abo	ˈæbəʊ
abode	əˈbəʊd
abolition	ˌæbəˈlɪʃn
abomination	əˌbɒmɪˈneɪʃn
abolish	əˈbɒlɪʃ
abominable	əˈbɒmɪnəbl
abominably	əˈbɒmɪnəbli
abort	əˈbɔːt
about	əˈbaʊt
abortive	əˈbɔːtɪv
abortionist	əˈbɔːʃənɪst
abominate	əˈbɒmɪneɪt
abound	əˈbaʊnd
above	əˈbʌv
abortion	əˈbɔːʃn
abracadabra	ˌæbrəkəˈdæbrə
abrade	əˈbreɪd
abrasive	əˈbreɪsɪv
abrasively	əˈbreɪsɪvli
abrasion	əˈbreɪʒn
abreast	əˈbrest
abscond	əbˈskɒnd
absent	ˈæbsənt
absentee	ˌæbsənˈtiː
abrogate	ˈæbrəɡeɪt
abrogation	ˌæbrəˈɡeɪʃn
absinthe	ˈæbsɪnθ
absolutism	ˈæbsəluːtɪzəm
absolutist	ˈæbsəluːtɪst
abscissa	æbˈsɪsə
abscissae	æbˈsɪsiː
