abandon	əˈbændən
abacus	ˈæbəkəs
abacuses	ˈæbəkəsɪz
aback	əˈbæk
abandoned	əˈbændənd
aardvark	ˈɑːdvɑːk
abandonment	əˈbændənmənt
abase	əˈbeɪs
abasement	əˈbeɪsmənt
abashed	əˈbæʃt
abaft	əˈbɑːft
aa	ˌeɪ ˈeɪ
abate	əˈbeɪt
abatement	əˈbeɪtmənt
abalone	ˌæbəˈləʊni
aargh	ɑː
abba	ˈʌbə
abbess	ˈæbes
abbey	ˈæbi
abbreviate	əˈbriːvieɪt
abbreviated	əˈbriːvieɪtɪd
abdominal	æbˈdɒmɪnl
abbreviation	əˌbriːviˈeɪʃn
abdicate	ˈæbdɪkeɪt
abdication	ˌæbdɪˈkeɪʃn
abbot	ˈæbət
abductor	æbˈdʌktə(r)
abdomen	ˈæbdəmən
abed	əˈbed
abduct	æbˈdʌkt
abduction	æbˈdʌkʃn
aberration	ˌæbəˈreɪʃn
aberrant	æˈberənt
abhorrence	əbˈhɒrəns
abhorrent	əbˈhɒrənt
abeyance	əˈbeɪəns
abject	ˈæbdʒekt
abjectly	ˈæbdʒektli
abiding	əˈbaɪdɪŋ
abjure	əbˈdʒʊə(r)
ablation	əˈbleɪʃn
abiotic	ˌeɪbaɪˈɒtɪk
able	ˈeɪbl
abler	ˈeɪblə(r)
ablest	ˈeɪblə(r)
ablaze	əˈbleɪz
ablative	ˈæblətɪv
ably	ˈeɪbli
ablutions	əˈbluːʃnz
abnegation	ˌæbnɪˈɡeɪʃn
abnegate	ˈæbnɪɡeɪt
abode	əˈbəʊd
aboard	əˈbɔːd
abnormal	æbˈnɔːml
abnormally	æbˈnɔːməli
abolish	əˈbɒlɪʃ
abolition	ˌæbəˈlɪʃn
abolitionist	ˌæbəˈlɪʃənɪst
aboriginal	ˌæbəˈrɪdʒənl
aborigine	ˌæbəˈrɪdʒəni
abort	əˈbɔːt
abomination	əˌbɒmɪˈneɪʃn
abortionist	əˈbɔːʃənɪst
abortion	əˈbɔːʃn
abortive	əˈbɔːtɪv
abominate	əˈbɒmɪneɪt
abominable	əˈbɒmɪnəbl
abominably	əˈbɒmɪnəbli
about	əˈbaʊt
above	əˈbʌv
abound	əˈbaʊnd
abrade	əˈbreɪd
abracadabra	ˌæbrəkəˈdæbrə
abrasive	əˈbreɪsɪv
abrasively	əˈbreɪsɪvli
abrasiveness	əˈbreɪsɪvnəs
abrasion	əˈbreɪʒn
abreast	əˈbrest
abrogate	ˈæbrəɡeɪt
abrogation	ˌæbrəˈɡeɪʃn
abroad	əˈbrɔːd
abs	æbz
abridge	əˈbrɪdʒ
abridged	əˈbrɪdʒd
abridgement	əˈbrɪdʒmənt
abrupt	əˈbrʌpt
abruptly	əˈbrʌptli
abruptness	əˈbrʌptnəs
absent	ˈæbsənt
abseil	ˈæbseɪl
abscond	əbˈskɒnd
absolute	ˈæbsəluːt
absence	ˈæbsəns
absenteeism	ˌæbsənˈtiːɪzəm
absently	ˈæbsəntli
absinthe	ˈæbsɪnθ
absentee	ˌæbsənˈtiː
absolution	ˌæbsəˈluːʃn
absolutism	ˈæbsəluːtɪzəm
absolutist	ˈæbsəluːtɪst
absorb	əbˈsɔːb
absolutely	ˈæbsəluːtli
