a	eɪ
a's	eɪz
abandon	əˈbændən
abbess	ˈæbes
aardvark	ˈɑːdvɑːk
abate	əˈbeɪt
abatement	əˈbeɪtmənt
abbey	ˈæbi
abalone	ˌæbəˈləʊni
abaft	əˈbɑːft
abase	əˈbeɪs
abasement	əˈbeɪsmənt
abba	ˈʌbə
abaya	əˈbeɪjə
aback	əˈbæk
abashed	əˈbæʃt
aa	ˌeɪ ˈeɪ
abbot	ˈæbət
abbreviation	əˌbriːviˈeɪʃn
abdicate	ˈæbdɪkeɪt
abdication	ˌæbdɪˈkeɪʃn
abdomen	ˈæbdəmən
abdominal	æbˈdɒmɪnl
abductor	æbˈdʌktə(r)
abduct	æbˈdʌkt
abduction	æbˈdʌkʃn
abed	əˈbed
abet	əˈbet
aberration	ˌæbəˈreɪʃn
abductee	ˌæbdʌkˈtiː
abide	əˈbaɪd
abeyance	əˈbeɪəns
abhor	əbˈhɔː(r)
abhorrent	əbˈhɒrənt
abhorrence	əbˈhɒrəns
aberrant	æˈberənt
abiding	əˈbaɪdɪŋ
ability	əˈbɪləti
abjure	əbˈdʒʊə(r)
able	ˈeɪbl
abler	ˈeɪblə(r)
ablest	ˈeɪblɪst
ablaze	əˈbleɪz
ablation	əˈbleɪʃn
ablative	ˈæblətɪv
ably	ˈeɪbli
abnegation	ˌæbnɪˈɡeɪʃn
abnegate	ˈæbnɪɡeɪt
abnormal	æbˈnɔːml
abnormally	æbˈnɔːməli
ablutions	əˈbluːʃnz
aboard	əˈbɔːd
abode	əˈbəʊd
abnormality	ˌæbnɔːˈmæləti
abolish	əˈbɒlɪʃ
abolition	ˌæbəˈlɪʃn
abominable	əˈbɒmɪnəbl
abominably	əˈbɒmɪnəbli
abominate	əˈbɒmɪneɪt
abomination	əˌbɒmɪˈneɪʃn
aboriginal	ˌæbəˈrɪdʒənl
aborigine	ˌæbəˈrɪdʒəni
abortion	əˈbɔːʃn
about	əˈbaʊt
abracadabra	ˌæbrəkəˈdæbrə
abortive	əˈbɔːtɪv
above	əˈbʌv
abrasive	əˈbreɪsɪv
abrasively	əˈbreɪsɪvli
abrade	əˈbreɪd
abrasion	əˈbreɪʒn
abreast	əˈbrest
abridge	əˈbrɪdʒ
abridged	əˈbrɪdʒd
abroad	əˈbrɔːd
abrupt	əˈbrʌpt
abruptly	əˈbrʌptli
abrogate	ˈæbrəɡeɪt
abrogation	ˌæbrəˈɡeɪʃn
abscess	ˈæbses
abscissa	æbˈsɪsə
abscissae	æbˈsɪsiː
absent	ˈæbsənt
abscond	əbˈskɒnd
abseil	ˈæbseɪl
absence	ˈæbsəns
absenteeism	ˌæbsənˈtiːɪzəm
absentee	ˌæbsənˈtiː
absolute	ˈæbsəluːt
absinthe	ˈæbsɪnθ
absently	ˈæbsəntli
absolution	ˌæbsəˈluːʃn
absolve	əbˈzɒlv
absolutism	ˈæbsəluːtɪzəm
absolutist	ˈæbsəluːtɪst
absorb	əbˈsɔːb
absolutely	ˈæbsəluːtli
absorbed	əbˈsɔːbd
absorbable	əbˈsɔːbəbl
absorbent	əbˈsɔːbənt
absorbency	əbˈsɔːbənsi
absorbency	əbˈzɔːbənsi
abstain	əbˈsteɪn
abstainer	əbˈsteɪnə(r)
abstention	əbˈstenʃn
abstemious	əbˈstiːmiəs
abstract	ˈæbstrækt
abstractly	ˈæbstræktli
abstinent	ˈæbstɪnənt
abstracted	æbˈstræktɪd
abstractedly	æbˈstræktɪdli
abstinence	ˈæbstɪnəns
abstraction	æbˈstrækʃn
abstractionism	æbˈstrækʃnɪzəm
abstractionist	æbˈstrækʃnɪst
absurd	əbˈsɜːd
absurdity	əbˈsɜːdəti
absurdism	əbˈsɜːdɪzəm
absurdist	əbˈsɜːdɪst
abundant	əˈbʌndənt
abstruse	əbˈstruːs
abundance	əˈbʌndəns
abuse	əˈbjuːs
abundantly	əˈbʌndəntli
abysmal	əˈbɪzməl
abysmally	əˈbɪzməli
abyssal	əˈbɪsl
acacia	əˈkeɪʃə
academic	ˌækəˈdemɪk
academically	ˌækəˈdemɪkli
academicism	ˌækəˈdemɪsɪzəm
abyss	əˈbɪs
academician	əˌkædəˈmɪʃn
academia	ˌækəˈdiːmiə
academy	əˈkædəmi
acanthus	əˈkænθəs
accede	əkˈsiːd
acceleration	əkˌseləˈreɪʃn
accelerate	əkˈseləreɪt
accelerando	əkˌseləˈrændəʊ
accent	ˈæksent
accented	ˈæksentɪd
accelerator	əkˈseləreɪtə(r)
accentuate	əkˈsentʃueɪt
accentuation	əkˌsentʃuˈeɪʃn
accelerometer	əkˌseləˈrɒmɪtə(r)
acceptable	əkˈseptəbl
acceptability	əkˌseptəˈbɪləti
accept	əkˈsept
accession	ækˈseʃn
accessible	əkˈsesəbl
accessibility	əkˌsesəˈbɪləti
accessory	əkˈsesəri
accident	ˈæksɪdənt
access	ˈækses
accessorize	əkˈsesəraɪz
acclaim	əˈkleɪm
acclamation	ˌækləˈmeɪʃn
acclimate	ˈækləmeɪt
acclimation	ˌækləˈmeɪʃn
accolade	ˈækəleɪd
accompaniment	əˈkʌmpənimənt
accompanist	əˈkʌmpənɪst
accommodation	əˌkɒməˈdeɪʃn
accomplish	əˈkʌmplɪʃ
accomplishment	əˈkʌmplɪʃmənt
accomplished	əˈkʌmplɪʃt
accord	əˈkɔːd
accomplice	əˈkʌmplɪs
accompany	əˈkʌmpəni
accountable	əˈkaʊntəbl
accountability	əˌkaʊntəˈbɪləti
accountant	əˈkaʊntənt
account	əˈkaʊnt
acclimatize	əˈklaɪmətaɪz
acclimatization	əˌklaɪmətaɪˈzeɪʃn
accordingly	əˈkɔːdɪŋli
accordion	əˈkɔːdiən
accoutrements	əˈkuːtrəmənts
accordance	əˈkɔːdns
acculturate	əˈkʌltʃəreɪt
acculturation	əˌkʌltʃəˈreɪʃn
accuracy	ˈækjərəsi
accounting	əˈkaʊntɪŋ
accountancy	əˈkaʊntənsi
accreditation	əˌkredɪˈteɪʃn
accursed	əˈkɜːsɪd
accost	əˈkɒst
accredit	əˈkredɪt
accumulate	əˈkjuːmjəleɪt
accumulation	əˌkjuːmjəˈleɪʃn
accumulator	əˈkjuːmjəleɪtə(r)
accredited	əˈkredɪtɪd
accumulative	əˈkjuːmjələtɪv
ace	eɪs
accusatory	əˈkjuːzətəri
accurate	ˈækjərət
accurately	ˈækjərətli
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋli
accused	əˈkjuːzd
accretion	əˈkriːʃn
accusation	ˌækjuˈzeɪʃn
