aide-de-camp	ˌeɪd də ˈkɒ̃
auld lang syne	ˌɔːld læŋ ˈsaɪn
auto-da-fé	ˌɔːtəʊ dɑː ˈfeɪ
autonomic nervous system	ˌɔːtənɒmɪk ˈnɜːvəs sɪstəm
autos-da-fé	ˌɔːtəʊz dɑː ˈfeɪ
bad hair day	ˌbæd ˈheə deɪ
bad hair days	ˌbæd ˈheə deɪz
bill of lading	ˌbɪl əv ˈleɪdɪŋ
billy-o	ˈbɪliəʊ
Bow Street runner	ˌbəʊ striːt ˈrʌnə
Bow Street runners	ˌbəʊ striːt ˈrʌnəz
bric-a-brac	ˈbrɪk ə bræk
bricks and mortar	ˌbrɪks n ˈmɔːtə
bureau de change	ˌbjʊərəʊ də ˈʃɑːnʒ
carpal tunnel syndrome	ˌkɑːpl ˈtʌnl sɪndrəʊm
chemin de fer	ʃəˌmæÌƒ də ˈfeə
chilli con carne	ˌtʃɪli kɒn ˈkɑːni
cock-a-doodle-doo	ˌkɒk ə ˌduːdl ˈduː
cock-a-doodle-doos	ˌkɒk ə ˌduːdl ˈduːz
coq au vin	ˌkɒk əʊ ˈvæÌƒ
corps de ballet	ˌkɔː də ˈbæleɪ
coup de grâce	ˌkuː də ˈɡrɑːs
coup de théâtre	ˌkuː də teɪˈɑːtrə
crème de cacao	ˌkrem də kæˈkaʊ
crème de la crème	ˌkrem də lɑː ˈkrem
crème de menthe	ˌkrem də ˈmɒnθ
Creutzfeldt-Jakob disease	ˌkrɔɪtsfelt ˈjækɒb dɪziːz
Cro-Magnon man	ˌkrəʊ ˈmænjɒ̃ mæn
CS gas	ˌsiː es ˈɡæs
cul-de-sac	ˈkʌl də sæk
cul-de-sacs	ˈkʌl də sæks
Côte d'Ivoire	ˌkəʊt diːˈvwɑː
fleur-de-lis	ˌflɜː də ˈliː
fleurs-de-lis	ˌflɜː də ˈliː
four-by-four	ˌfɔː baɪ ˈfɔː
four-by-fours	ˌfɔː baɪ ˈfɔːz
hide-and-seek	ˌhaɪd n ˈsiːk
hydrochlorofluorocarbon	ˌhaɪdrəʊklɒrəʊˈflʊərəkɑːbən
hydrochlorofluorocarbons	ˌhaɪdrəʊklɒrəʊˈflʊərəkɑːbənz
je ne sais quoi	ˌʒə nə seɪ ˈkwɑː
Johnny-come-latelies	ˌdʒɒni kʌm ˈleɪtliz
Johnny-come-lately	ˌdʒɒni kʌm ˈleɪtli
joie de vivre	ˌʒwʌ də ˈviːvrə
la dolce vita	lɑː ˌdɒltʃeɪ ˈviːtə
left-luggage office	ˌleft ˈlʌɡɪdʒ ɒfɪs
left-luggage offices	ˌleft ˈlʌɡɪdʒ ɒfɪsɪz
magic mushroom	ʃruːm
magic mushrooms	ʃruːmz
master of ceremonies	ˌmɑːstər əv ˈserəməniz
ménage à trois	ˌmeɪnɑːʒ ɑː ˈtrwʌ
ne plus ultra	ˌneɪ plʊs ˈʊltrɑː
nom de guerre	ˌnɒm də ˈɡeə
nom de plume	ˌnɒm də ˈpluːm
pâté de foie gras	ˌpæteɪ də fwʌ ˈɡrɑː
palais de danse	ˌpæleɪ də ˈdɑːns
pas de deux	ˌpɑː də ˈdɜː
persona non grata	pɜːˌsəʊnə nɒn ˈɡrɑːtə
pièce de résistance	ˌpjes də reˈzɪstɒ̃s
pièces de résistance	ˌpjes də reˈzɪstɒ̃s
pied-à-terre	ˌpjeɪd ɑː ˈteə
plaster of Paris	ˌplɑːstər əv ˈpærɪs
port of call	ˌpɔːt əv ˈkɔːl
pre-emption	priˈempʃn
quid pro quo	ˌkwɪd prəʊ ˈkwəʊ
quid pro quos	ˌkwɪd prəʊ ˈkwəʊz
reductio ad absurdum	rɪˌdʌktiəʊ æd æbˈsɜːdəm
Rip Van Winkle	ˌrɪp væn ˈwɪŋkl
Scylla and Charybdis	ˌsɪlə ənd kəˈrɪbdɪs
sine qua non	ˌsɪneɪ kwɑː ˈnəʊn
so-and-so	ˈsəʊ ən səʊ
so-and-sos	ˈsəʊ ən səʊz
Sodom and Gomorrah	ˌsɒdəm ən ɡəˈmɒrə
son et lumière	ˌsɒn eɪ ˈluːmjeə
